Problem,Kind,Instance,Solver,Status,Time,Objective,Score,Score Incomplete,Score Area
atp-stage2,MIN,instance1-stage2,atlantis-free,UNK,1200000, ,0,0,1200000
atp-stage2,MIN,instance1-stage2,cbc-free,UNK,1200000, ,0,0,1200000
atp-stage2,MIN,instance1-stage2,choco-solver__cp_-free,S,1200000,7985080,16,19.5,305831.9397004762
atp-stage2,MIN,instance1-stage2,choco-solver__cp_lcg_-free,S,1200000,7985080,16,19.5,310743.5181027705
atp-stage2,MIN,instance1-stage2,chuffed-free,S,1200000,8094343,6,6,410195.31742187863
atp-stage2,MIN,instance1-stage2,cp_optimizer-free,SC,98676,7985080,23.31486652534821,19.5,25893.556975976306
atp-stage2,MIN,instance1-stage2,cplex-free,SC,615943,7985080,20.841786567496122,19.5,157615.7541645485
atp-stage2,MIN,instance1-stage2,crusher-free,UNK,1200000, ,0,0,1200000
atp-stage2,MIN,instance1-stage2,gecode-fd,SC,265849,7985080,22.02733319998298,19.5,68264.9595142627
atp-stage2,MIN,instance1-stage2,gecode___scheduling_portfolio__experimental_-free,S,1200000,7985080,16,19.5,307185.6898737436
atp-stage2,MIN,instance1-stage2,gurobi_12-free,SC,356356,7985080,21.6078376622332,19.5,91125.68929754761
atp-stage2,MIN,instance1-stage2,highs-free,ERR, , ,0,0,1200000
atp-stage2,MIN,instance1-stage2,huub-free,S,1200000,8040477,10,10,361778.19785262767
atp-stage2,MIN,instance1-stage2,huub__difference_logic_-free,S,1200000,8081489,7,7,398849.2151319691
atp-stage2,MIN,instance1-stage2,jacop-free,S,1200000,8108830,5,5,423546.8062293734
atp-stage2,MIN,instance1-stage2,nucs-fd,S,1200000,7985080,16,19.5,316604.12846351
atp-stage2,MIN,instance1-stage2,or-tools_cp-sat-free,SC,27381,7985080,24.493831586585834,19.5,8415.819801036661
atp-stage2,MIN,instance1-stage2,or-tools_cp-sat-ls-free,S,1200000,8060380,9,9,429357.17038932914
atp-stage2,MIN,instance1-stage2,picatsat-free,SC,648107,7985080,20.771553484302,19.5,177672.3798668129
atp-stage2,MIN,instance1-stage2,pumpkin-free,SC,571323,7985080,20.942790974051654,19.5,144793.83286515705
atp-stage2,MIN,instance1-stage2,qiuqi-mixsolver-free,S,1200000,8003039,11,11,342394.34638900834
atp-stage2,MIN,instance1-stage2,sabori_csp-free,S,1200000,7997170,13,13,320324.0106069102
atp-stage2,MIN,instance1-stage2,scip-free,S,1200000,7985080,16,19.5,305648.0121319906
atp-stage2,MIN,instance1-stage2,sicstus_prolog-free,S,1200000,8001651,12,12,317824.6706447347
atp-stage2,MIN,instance1-stage2,thornbill-free,S,1200000,8078326,8,8,619817.1938016816
atp-stage2,MIN,instance1-stage2,yuck-free,UNK,1200000, ,0,0,1200000
atp-stage2,MIN,instance2-stage2,atlantis-free,UNK,1200000, ,0,0,1200000
atp-stage2,MIN,instance2-stage2,cbc-free,UNK,1200000, ,0,0,1200000
atp-stage2,MIN,instance2-stage2,choco-solver__cp_-free,S,1200000,1307137,22,22,305461.29370840674
atp-stage2,MIN,instance2-stage2,choco-solver__cp_lcg_-free,S,1200000,1307137,22,22,308000.0582618032
atp-stage2,MIN,instance2-stage2,chuffed-free,S,1200000,2680653,6,6,805247.088323148
atp-stage2,MIN,instance2-stage2,cp_optimizer-free,S,1200000,1307137,22,22,301154.4062142005
atp-stage2,MIN,instance2-stage2,cplex-free,S,1200000,1307137,22,22,304721.0229761386
atp-stage2,MIN,instance2-stage2,crusher-free,UNK,1200000, ,0,0,1200000
atp-stage2,MIN,instance2-stage2,gecode-fd,S,1200000,1405215,13,13,344522.5245411385
atp-stage2,MIN,instance2-stage2,gecode___scheduling_portfolio__experimental_-free,S,1200000,1517715,11,11,383509.79938107193
atp-stage2,MIN,instance2-stage2,gurobi_12-free,S,1200000,1307137,22,22,301749.8404222132
atp-stage2,MIN,instance2-stage2,highs-free,ERR, , ,0,0,1200000
atp-stage2,MIN,instance2-stage2,huub-free,S,1200000,2065447,7,7,581582.6776708019
atp-stage2,MIN,instance2-stage2,huub__difference_logic_-free,S,1200000,2050484,8,8,581650.7373997923
atp-stage2,MIN,instance2-stage2,jacop-free,S,1200000,1547306,10,10,390090.6769983597
