problem	type	status	time	obj
2022/accap	MIN	OPTIMAL	1.79	103
2022/arithmetic-target	MIN	OPTIMAL	1.67	5
2022/blocks-world	MIN	OPTIMAL	16.64	25
2022/diameterc-mst	MIN	OPTIMAL	0.77	314
2022/generalized-peacable-queens	MAX	OPTIMAL	43.36	4
2022/gfd-schedule	MIN	OPTIMAL	0.75	9
2022/ma-path-finding	MIN	OPTIMAL	33.84	240
2022/nfc	MIN	OPTIMAL	0.23	784
2022/roster-sickness	MAX	OPTIMAL	24.28	191062
2022/rotating-workforce-scheduling	SAT	SOL	1.09	None
2022/spot5	MIN	OPTIMAL	0.25	114
2022/stripboard	MIN	SOL	65.4	75
2022/sudoku_opt	MIN	OPTIMAL	1.35	-3
2022/team-assignment	MAX	OPTIMAL	0.39	2948
2022/tower	MAX	OPTIMAL	15.67	90
2022/traveling-tppv	MIN	SOL	63.5	426
2022/triangular	MAX	OPTIMAL	19.32	20
2022/vaccine	MAX	OPTIMAL	18.98	45
2022/wordpress	MIN	OPTIMAL	8.0	2022
2022/yumi-static	MIN	OPTIMAL	15.45	482
2023/chessboard	MAX	OPTIMAL	7.44	48
2023/code-generator	MIN	UNKNOWN	7.75	None
2023/elitserien	MIN	OPTIMAL	2.8	2
2023/evm-super-compilation	MIN	OPTIMAL	33.52	33
2023/gametes	MIN	OPTIMAL	1.0	3
2023/kidney-exchange	MAX	OPTIMAL	0.37	815
2023/mrcpsp	MIN	OPTIMAL	0.34	27
2023/multi-agent-graph-coverage	MIN	OPTIMAL	0.95	147
2023/pennies-opt	MAX	OPTIMAL	0.49	5
2023/roster	MIN	OPTIMAL	0.45	7
2023/roster-shifts-bool	MAX	OPTIMAL	36.24	56378
2023/speck-optimisation	MIN	OPTIMAL	0.37	1
2023/sudoku_fixed	SAT	SOL	0.46	None
2023/table-layout	MIN	OPTIMAL	0.37	8137
2023/test-scheduling	MIN	OPTIMAL	0.36	1069
2023/travelling-thief	MAX	UNKNOWN	0.27	None
2023/unit-commitment	MIN	OPTIMAL	0.24	75950
2023/valve-network	MAX	OPTIMAL	0.64	34
2023/vrplc	MIN	OPTIMAL	4.1	329
2023/yumi-static	MIN	OPTIMAL	3.81	457
2024/accap	MIN	OPTIMAL	2.77	105
2024/aircraft-disassembly	MIN	OPTIMAL	0.77	3297500
2024/cable-tree-wiring	MIN	OPTIMAL	27.29	5153158
2024/community-detection	MAX	OPTIMAL	0.47	-892763
2024/compression	MIN	OPTIMAL	0.28	25
2024/concert-hall-cap	MAX	OPTIMAL	0.35	36778
2024/fox-geese-corn	MAX	SOL	60.82	57
2024/graph-clear	MIN	OPTIMAL	6.03	54
2024/harmony	MIN	OPTIMAL	0.99	36
2024/hoist-benchmark	MIN	SOL	62.49	448
2024/monitor-placement-1id	MIN	TIMEOUT	80.11	None
2024/neighbours	MAX	OPTIMAL	0.22	17
2024/network_50_cstr	MIN	OPTIMAL	15.54	3
2024/peacable_queens	MAX	OPTIMAL	12.38	7
2024/portal	MIN	OPTIMAL	30.12	20
2024/tiny-cvrp	MIN	OPTIMAL	0.48	454
2024/train-scheduling	MIN	OPTIMAL	1.11	304
2024/triangular	MAX	OPTIMAL	1.93	17
2024/word-equations	MAX	UNSAT	0.42	None
2024/yumi-dynamic	MIN	OPTIMAL	17.66	468
2025/atsp	MIN	OPTIMAL	0.26	657504
2025/black-hole	SAT	SOL	1.47	None
2025/carpet-cutting	MIN	OPTIMAL	0.44	570
2025/cgt	MIN	SOL	65.8	-189456
2025/EchoSched	MIN	OPTIMAL	0.61	12135
2025/fbd1	MIN	OPTIMAL	0.42	46
2025/groupsplitter	MAX	SOL	68.37	214
2025/gt-sort	MIN	OPTIMAL	5.1	79
2025/hitori	MAX	OPTIMAL	0.37	17
2025/ihtc-2024-kletzander	MIN	SOL	62.14	590
2025/ihtc-2024-marte	MIN	SOL	66.68	4577
2025/is	MIN	OPTIMAL	0.39	376832
2025/mondoku	MIN	OPTIMAL	0.5	0
2025/products-and-shelves	MIN	OPTIMAL	3.11	5
2025/proteindesign12	MIN	OPTIMAL	9.65	1473
2025/skill-allocation	MIN	OPTIMAL	6.95	2
2025/stripboard	MIN	OPTIMAL	2.21	45
2025/tower	MAX	OPTIMAL	1.41	45
2025/tsptw	MIN	OPTIMAL	0.6	275
2025/work-task-variation	MIN	OPTIMAL	6.99	45
