problem	type	status	time	obj
2022/accap	MIN	SOL	63.87	589
2022/arithmetic-target	MIN	OPTIMAL	4.74	7
2022/blocks-world	MIN	OPTIMAL	24.62	25
2022/diameterc-mst	MIN	SOL	60.31	672
2022/generalized-peacable-queens	MAX	SOL	60.49	3
2022/gfd-schedule	MIN	OPTIMAL	9.26	18
2022/ma-path-finding	MIN	TIMEOUT	105.09	None
2022/nfc	MIN	OPTIMAL	0.21	2410
2022/roster-sickness	MAX	OPTIMAL	20.36	191062
2022/rotating-workforce-scheduling	SAT	SOL	12.56	None
2022/spot5	MIN	OPTIMAL	6.07	459415
2022/stripboard	MIN	TIMEOUT	60.47	None
2022/sudoku_opt	MIN	OPTIMAL	0.44	-55
2022/team-assignment	MAX	OPTIMAL	2.49	66664
2022/tower	MAX	SOL	62.96	221
2022/traveling-tppv	MIN	SOL	64.31	1326
2022/triangular	MAX	OPTIMAL	16.15	20
2022/vaccine	MAX	SOL	60.58	99
2022/wordpress	MIN	OPTIMAL	21.86	3232
2022/yumi-static	MIN	OPTIMAL	13.28	482
2023/chessboard	MAX	SOL	62.5	357
2023/code-generator	MIN	TIMEOUT	105.09	None
2023/elitserien	MIN	OPTIMAL	2.89	2
2023/evm-super-compilation	MIN	TIMEOUT	61.11	None
2023/gametes	MIN	SOL	63.26	6
2023/kidney-exchange	MAX	OPTIMAL	0.44	1152
2023/mrcpsp	MIN	OPTIMAL	0.34	27
2023/multi-agent-graph-coverage	MIN	SOL	64.52	35184
2023/pennies-opt	MAX	SOL	60.64	10
2023/roster	MIN	OPTIMAL	0.48	19
2023/roster-shifts-bool	MAX	OPTIMAL	0.61	5190
2023/speck-optimisation	MIN	TIMEOUT	61.8	None
2023/sudoku_fixed	SAT	SOL	0.57	None
2023/table-layout	MIN	UNSAT	86.56	None
2023/test-scheduling	MIN	SOL	65.01	45498
2023/travelling-thief	MAX	UNKNOWN	0.3	None
2023/unit-commitment	MIN	SOL	65.04	26637725
2023/valve-network	MAX	OPTIMAL	4.29	356
2023/vrplc	MIN	SOL	62.29	594
2023/yumi-static	MIN	OPTIMAL	8.12	527
2024/accap	MIN	SOL	62.23	273
2024/aircraft-disassembly	MIN	UNSAT	17.64	None
2024/cable-tree-wiring	MIN	OPTIMAL	42.01	13413296
2024/community-detection	MAX	OPTIMAL	19.77	80137090
2024/compression	MIN	SOL	64.04	226
2024/concert-hall-cap	MAX	OPTIMAL	1.16	3170334
2024/fox-geese-corn	MAX	SOL	60.42	683
2024/graph-clear	MIN	SOL	63.85	72
2024/harmony	MIN	OPTIMAL	2.12	37
2024/hoist-benchmark	MIN	SOL	62.23	448
2024/monitor-placement-1id	MIN	TIMEOUT	105.2	None
2024/neighbours	MAX	SOL	63.26	2580
2024/network_50_cstr	MIN	OPTIMAL	18.36	2
2024/peacable_queens	MAX	SOL	62.27	19
2024/portal	MIN	TIMEOUT	62.0	None
2024/tiny-cvrp	MIN	SOL	63.23	6089
2024/train-scheduling	MIN	OPTIMAL	0.47	10
2024/triangular	MAX	SOL	60.32	22
2024/word-equations	MAX	UNSAT	0.4	None
2024/yumi-dynamic	MIN	SOL	81.91	1645
2025/atsp	MIN	SOL	62.36	7837444
2025/black-hole	SAT	SOL	1.75	None
2025/carpet-cutting	MIN	SOL	60.49	1590
2025/cgt	MIN	SOL	62.51	-181680
2025/EchoSched	MIN	OPTIMAL	46.71	15144
2025/fbd1	MIN	OPTIMAL	0.42	46
2025/groupsplitter	MAX	SOL	64.83	241
2025/gt-sort	MIN	TIMEOUT	62.1	None
2025/hitori	MAX	SOL	62.72	1574
2025/ihtc-2024-kletzander	MIN	SOL	63.6	4335
2025/ihtc-2024-marte	MIN	TIMEOUT	64.55	None
2025/is	MIN	OPTIMAL	0.58	71168
2025/mondoku	MIN	OPTIMAL	1.25	1
2025/products-and-shelves	MIN	OPTIMAL	35.09	15
2025/proteindesign12	MIN	SOL	67.2	3771
2025/skill-allocation	MIN	OPTIMAL	29.59	2
2025/stripboard	MIN	OPTIMAL	1.46	63
2025/tower	MAX	SOL	63.5	207
2025/tsptw	MIN	TIMEOUT	60.39	None
2025/work-task-variation	MIN	SOL	65.62	2118
