problem	type	status	time	obj
2022/accap	MIN	SOL	60.2	132
2022/arithmetic-target	MIN	SOL	60.41	7422
2022/blocks-world	MIN	TIMEOUT	60.58	None
2022/diameterc-mst	MIN	OPTIMAL	25.8	314
2022/generalized-peacable-queens	MAX	SOL	60.26	4
2022/gfd-schedule	MIN	SOL	60.3	7505
2022/ma-path-finding	MIN	SOL	74.92	459
2022/nfc	MIN	OPTIMAL	3.92	784
2022/roster-sickness	MAX	OPTIMAL	22.1	191062
2022/rotating-workforce-scheduling	SAT	TIMEOUT	60.38	None
2022/spot5	MIN	SOL	60.25	142
2022/stripboard	MIN	TIMEOUT	60.42	None
2022/sudoku_opt	MIN	TIMEOUT	60.34	None
2022/team-assignment	MAX	OPTIMAL	8.5	2948
2022/tower	MAX	SOL	60.44	77
2022/traveling-tppv	MIN	TIMEOUT	60.37	None
2022/triangular	MAX	SOL	60.22	20
2022/vaccine	MAX	TIMEOUT	60.26	None
2022/wordpress	MIN	SOL	60.24	2022
2022/yumi-static	MIN	SOL	60.57	720
2023/chessboard	MAX	SOL	60.25	48
2023/code-generator	MIN	OPTIMAL	3.01	6340
2023/elitserien	MIN	OPTIMAL	16.55	2
2023/evm-super-compilation	MIN	TIMEOUT	60.77	None
2023/gametes	MIN	TIMEOUT	60.4	None
2023/kidney-exchange	MAX	OPTIMAL	0.38	815
2023/mrcpsp	MIN	OPTIMAL	20.72	27
2023/multi-agent-graph-coverage	MIN	SOL	60.33	274
2023/pennies-opt	MAX	OPTIMAL	0.34	5
2023/roster	MIN	OPTIMAL	11.1	7
2023/roster-shifts-bool	MAX	SOL	78.03	56342
2023/speck-optimisation	MIN	OPTIMAL	0.34	1
2023/sudoku_fixed	SAT	TIMEOUT	60.34	None
2023/table-layout	MIN	OPTIMAL	10.45	8137
2023/test-scheduling	MIN	OPTIMAL	0.87	1069
2023/travelling-thief	MAX	UNKNOWN	0.26	None
2023/unit-commitment	MIN	OPTIMAL	2.11	75950
2023/valve-network	MAX	OPTIMAL	21.83	34
2023/vrplc	MIN	SOL	60.24	330
2023/yumi-static	MIN	SOL	60.59	571
2024/accap	MIN	SOL	60.22	148
2024/aircraft-disassembly	MIN	SOL	60.32	5447750
2024/cable-tree-wiring	MIN	TIMEOUT	60.68	None
2024/community-detection	MAX	OPTIMAL	2.13	-892763
2024/compression	MIN	OPTIMAL	5.06	25
2024/concert-hall-cap	MAX	SOL	60.34	34576
2024/fox-geese-corn	MAX	SOL	60.24	44
2024/graph-clear	MIN	SOL	60.65	56
2024/harmony	MIN	SOL	60.42	89
2024/hoist-benchmark	MIN	TIMEOUT	60.38	None
2024/monitor-placement-1id	MIN	TIMEOUT	80.1	None
2024/neighbours	MAX	OPTIMAL	0.22	17
2024/network_50_cstr	MIN	TIMEOUT	74.75	None
2024/peacable_queens	MAX	OPTIMAL	1.04	7
2024/portal	MIN	TIMEOUT	60.36	None
2024/tiny-cvrp	MIN	SOL	60.3	503
2024/train-scheduling	MIN	SOL	60.37	362
2024/triangular	MAX	OPTIMAL	9.56	17
2024/word-equations	MAX	UNSAT	0.3	None
2024/yumi-dynamic	MIN	SOL	62.05	600
2025/atsp	MIN	OPTIMAL	0.22	657504
2025/black-hole	SAT	TIMEOUT	60.23	None
2025/carpet-cutting	MIN	SOL	60.34	600
2025/cgt	MIN	SOL	60.55	60433
2025/EchoSched	MIN	SOL	60.29	12255
2025/fbd1	MIN	OPTIMAL	0.32	46
2025/groupsplitter	MAX	SOL	63.05	168
2025/gt-sort	MIN	SOL	60.52	79
2025/hitori	MAX	OPTIMAL	6.35	17
2025/ihtc-2024-kletzander	MIN	TIMEOUT	60.53	None
2025/ihtc-2024-marte	MIN	SOL	60.51	8155
2025/is	MIN	OPTIMAL	0.3	376832
2025/mondoku	MIN	OPTIMAL	0.35	0
2025/products-and-shelves	MIN	TIMEOUT	61.12	None
2025/proteindesign12	MIN	SOL	60.57	1478
2025/skill-allocation	MIN	TIMEOUT	61.94	None
2025/stripboard	MIN	SOL	60.4	70
2025/tower	MAX	OPTIMAL	14.85	45
2025/tsptw	MIN	SOL	60.32	275
2025/work-task-variation	MIN	SOL	60.67	2866
