problem	type	base_st	base_t	base_obj	lcg_st	lcg_t	lcg_obj
2022/accap	MIN	SOL	62.82	94031	SOL	61.96	94031
2022/arithmetic-target	MIN	UNKNOWN	1.55	None	UNKNOWN	0.68	None
2022/blocks-world	MIN	TIMEOUT	61.61	None	TIMEOUT	60.67	None
2022/diameterc-mst	MIN	SOL	62.61	736	SOL	60.29	769
2022/generalized-peacable-queens	MAX	SOL	60.53	3	SOL	60.6	3
2022/gfd-schedule	MIN	SOL	63.63	16400	SOL	62.47	13275
2022/ma-path-finding	MIN	TIMEOUT	105.28	None	TIMEOUT	105.23	None
2022/nfc	MIN	SOL	60.29	2410	SOL	60.44	2410
2022/roster-sickness	MAX	OPTIMAL	24.76	191062	OPTIMAL	23.64	191062
2022/rotating-workforce-scheduling	SAT	TIMEOUT	60.56	None	TIMEOUT	60.64	None
2022/spot5	MIN	SOL	64.17	513460	SOL	64.13	525450
2022/stripboard	MIN	TIMEOUT	60.51	None	TIMEOUT	60.54	None
2022/sudoku_opt	MIN	OPTIMAL	3.11	-55	OPTIMAL	3.37	-55
2022/team-assignment	MAX	SOL	62.11	66651	SOL	62.17	65685
2022/tower	MAX	SOL	64.49	200	SOL	64.38	182
2022/traveling-tppv	MIN	SOL	60.63	1522	SOL	62.08	1574
2022/triangular	MAX	SOL	60.3	20	SOL	60.25	19
2022/vaccine	MAX	SOL	62.35	99	SOL	63.76	99
2022/wordpress	MIN	SOL	61.79	3521	SOL	63.18	3350
2022/yumi-static	MIN	SOL	63.7	719	SOL	63.53	780
2023/chessboard	MAX	SOL	62.17	339	SOL	63.72	340
2023/code-generator	MIN	TIMEOUT	105.1	None	TIMEOUT	105.07	None
2023/elitserien	MIN	OPTIMAL	14.12	2	OPTIMAL	21.86	2
2023/evm-super-compilation	MIN	TIMEOUT	61.21	None	TIMEOUT	61.26	None
2023/gametes	MIN	TIMEOUT	61.31	None	TIMEOUT	61.28	None
2023/kidney-exchange	MAX	SOL	63.35	1152	OPTIMAL	38.68	1152
2023/mrcpsp	MIN	OPTIMAL	0.39	27	OPTIMAL	0.41	27
2023/multi-agent-graph-coverage	MIN	TIMEOUT	61.13	None	TIMEOUT	61.27	None
2023/pennies-opt	MAX	SOL	61.96	9	SOL	61.89	8
2023/roster	MIN	OPTIMAL	0.39	19	OPTIMAL	0.38	19
2023/roster-shifts-bool	MAX	SOL	60.5	5190	SOL	60.48	5190
2023/speck-optimisation	MIN	TIMEOUT	61.57	None	TIMEOUT	61.4	None
2023/sudoku_fixed	SAT	SOL	0.96	None	SOL	0.74	None
2023/table-layout	MIN	UNSAT	89.18	None	UNSAT	88.57	None
2023/test-scheduling	MIN	SOL	64.19	168874	SOL	64.17	168593
2023/travelling-thief	MAX	UNKNOWN	0.35	None	UNKNOWN	0.32	None
2023/unit-commitment	MIN	TIMEOUT	61.22	None	TIMEOUT	61.18	None
2023/valve-network	MAX	SOL	60.99	117	SOL	62.53	141
2023/vrplc	MIN	SOL	60.51	857	SOL	60.35	822
2023/yumi-static	MIN	SOL	62.46	696	SOL	60.76	661
2024/accap	MIN	SOL	63.33	12196	SOL	63.36	12839
2024/aircraft-disassembly	MIN	TIMEOUT	69.55	None	TIMEOUT	69.42	None
2024/cable-tree-wiring	MIN	SOL	63.78	15466656	SOL	63.96	13931693
2024/community-detection	MAX	OPTIMAL	47.67	80137090	OPTIMAL	35.63	80137090
2024/compression	MIN	SOL	63.55	1043	TIMEOUT	60.58	None
2024/concert-hall-cap	MAX	SOL	62.49	2419409	SOL	62.63	2428569
2024/fox-geese-corn	MAX	SOL	61.9	193	SOL	61.82	207
2024/graph-clear	MIN	SOL	62.89	91	SOL	61.28	100
2024/harmony	MIN	SOL	62.62	61	SOL	61.14	52
2024/hoist-benchmark	MIN	SOL	62.01	470	SOL	60.59	470
2024/monitor-placement-1id	MIN	TIMEOUT	105.12	None	TIMEOUT	105.1	None
2024/neighbours	MAX	SOL	64.96	1339	SOL	65.11	1266
2024/network_50_cstr	MIN	SOL	82.44	2545	SOL	83.82	2429
2024/peacable_queens	MAX	SOL	60.64	19	SOL	60.81	18
2024/portal	MIN	TIMEOUT	61.76	None	TIMEOUT	61.82	None
2024/tiny-cvrp	MIN	SOL	62.97	6259	SOL	62.96	6323
2024/train-scheduling	MIN	OPTIMAL	0.48	10	OPTIMAL	0.5	10
